poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
73830,940,Lake Research,1587,National Women's Law Center,Lake Research Partners,165,Lake Research Partners,A/B,Live Phone,,10/31/20,11/3/20,,"",,138491,2400,lv,,lv,,12/17/20 21:39,"",https://nwlc.org/press-releases/2020-election-poll/,538,false,DEM,6210,2020,U.S. President,0,,11/3/20,general,false,false,DEM,Biden,13256,Joe Biden,51.0
73830,940,Lake Research,1587,National Women's Law Center,Lake Research Partners,165,Lake Research Partners,A/B,Live Phone,,10/31/20,11/3/20,,"",,138491,2400,lv,,lv,,12/17/20 21:39,"",https://nwlc.org/press-releases/2020-election-poll/,538,false,DEM,6210,2020,U.S. President,0,,11/3/20,general,false,false,REP,Trump,13254,Donald Trump,48.0
74946,1677,The Political Matrix/The Listener Group,"","",The Political Matrix/The Listener Group,677,The Political Matrix/The Listener Group,,IVR,Florida,11/2/20,11/2/20,,"",,142781,966,lv,,lv,,6/14/21 15:36,"",http://thelistenergroup.com/wp-content/uploads/2020/11/Trump-Leads-by-Four-with-Likely-Florida-Voters-on-Eve-of-Election-Day-.pdf,538,false,,6220,2020,U.S. President,0,,11/3/20,general,false,false,DEM,Biden,13256,Joe Biden,44.2
74946,1677,The Political Matrix/The Listener Group,"","",The Political Matrix/The Listener Group,677,The Political Matrix/The Listener Group,,IVR,Florida,11/2/20,11/2/20,,"",,142781,966,lv,,lv,,6/14/21 15:36,"",http://thelistenergroup.com/wp-content/uploads/2020/11/Trump-Leads-by-Four-with-Likely-Florida-Voters-on-Eve-of-Election-Day-.pdf,538,false,,6220,2020,U.S. President,0,,11/3/20,general,false,false,REP,Trump,13254,Donald Trump,48.0
72621,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,Iowa,11/1/20,11/2/20,,"",,136283,871,v,,v,,11/2/20 09:02,"",https://www.publicpolicypolling.com/wp-content/uploads/2020/11/IowaResultsNovember2020.pdf,538,false,,6223,2020,U.S. President,0,,11/3/20,general,false,false,DEM,Biden,13256,Joe Biden,49.0
72621,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,Iowa,11/1/20,11/2/20,,"",,136283,871,v,,v,,11/2/20 09:02,"",https://www.publicpolicypolling.com/wp-content/uploads/2020/11/IowaResultsNovember2020.pdf,538,false,,6223,2020,U.S. President,0,,11/3/20,general,false,false,REP,Trump,13254,Donald Trump,48.0
72647,461,Susquehanna,"","",Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,Live Phone,Pennsylvania,11/1/20,11/2/20,,"",,136322,499,lv,,lv,,11/2/20 12:49,"",https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,538,false,,6249,2020,U.S. President,0,,11/3/20,general,false,false,DEM,Biden,13256,Joe Biden,48.4
72647,461,Susquehanna,"","",Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,Live Phone,Pennsylvania,11/1/20,11/2/20,,"",,136322,499,lv,,lv,,11/2/20 12:49,"",https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,538,false,,6249,2020,U.S. President,0,,11/3/20,general,false,false,REP,Trump,13254,Donald Trump,49.2
72647,461,Susquehanna,"","",Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,Live Phone,Pennsylvania,11/1/20,11/2/20,,"",,136322,499,lv,,lv,,11/2/20 12:49,"",https://www.realclearpolitics.com/docs/2020/SusquehannaPolling-PAStatewidePoll-Oct2020.pdf,538,false,,6249,2020,U.S. President,0,,11/3/20,general,false,false,LIB,Jorgensen,14611,Jo Jorgensen,1.4
72722,235,InsiderAdvantage,364,FOX35 Orlando,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,IVR/Live Phone,Florida,11/1/20,11/2/20,,"",,136491,400,lv,,lv,,11/2/20 19:02,"",https://www.realclearpolitics.com/docs/2020/Fox_35_Insider_Advantage.pdf,538,false,,6220,2020,U.S. President,0,,11/3/20,general,false,false,DEM,Biden,13256,Joe Biden,47.0
